id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
11865,T00414,"Picasso, Pablo",artist,1767,"Bottle of Vieux Marc, Glass, Guitar and Newspaper",1913,Printed papers and ink on paper,Purchased 1961,1913,1961,support: 467 x 625 mm,467,625,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T00/T00414_8.jpg,http://www.tate.org.uk/art/artworks/picasso-bottle-of-vieux-marc-glass-guitar-and-newspaper-t00414
11866,T00729,"Picasso, Pablo",artist,1767,The Three Dancers,1925,Oil paint on canvas,Purchased with a special Grant-in-Aid and the Florence Fox Bequest with assistance from the Friends of the Tate Gallery and the Contemporary Art Society 1965,1925,1965,support: 2153 x 1422 mm frame: 2232 x 1507 x 107 mm,2153,1422,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T00/T00729_8.jpg,http://www.tate.org.uk/art/artworks/picasso-the-three-dancers-t00729
11867,T01136,"Picasso, Pablo",artist,1767,Still Life,1914,Painted wood and upholstery fringe,Purchased 1969,1914,1969,object: 254 x 457 x 92 mm,254,457,92,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T01/T01136_8.jpg,http://www.tate.org.uk/art/artworks/picasso-still-life-t01136
11868,T03571,"Picasso, Pablo",artist,1767,Circus Artist and Child,1905,Ink and watercolour on paper,Bequeathed by Mrs A.F. Kessler 1983,1905,1983,support: 168 x 105 mm,168,105,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T03/T03571_8.jpg,http://www.tate.org.uk/art/artworks/picasso-circus-artist-and-child-t03571
11869,T03572,"Picasso, Pablo",artist,1767,Dish of Pears,1936,Oil paint on canvas,Bequeathed by Mrs A.F. Kessler 1983,1936,1983,support: 380 x 610 mm frame: 650 x 882 x 84 mm,380,610,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T03/T03572_8.jpg,http://www.tate.org.uk/art/artworks/picasso-dish-of-pears-t03572
11870,T03670,"Picasso, Pablo",artist,1767,Nude Woman with Necklace,1968,Oil paint on canvas,Purchased 1983,1968,1983,support: 1135 x 1617 mm frame: 1181 x 1663 x 62 mm,1135,1617,,mm,date inscribed,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T03/T03670_8.jpg,http://www.tate.org.uk/art/artworks/picasso-nude-woman-with-necklace-t03670
11871,T05010,"Picasso, Pablo",artist,1767,Weeping Woman,1937,Oil paint on canvas,"Accepted by HM Government in lieu of tax with additional payment (Grant-in-Aid) made with assistance from the National Heritage Memorial Fund, the Art Fund and the Friends of the Tate Gallery 1987",1937,1987,support: 608 x 500 mm frame: 847 x 739 x 86 mm,608,500,,mm,date inscribed,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T05/T05010_8.jpg,http://www.tate.org.uk/art/artworks/picasso-weeping-woman-t05010
20842,T06802,"Picasso, Pablo",artist,1767,The Studio,1955,Oil paint on canvas,"Presented by Gustav and Elly Kahnweiler 1974, accessioned 1994",1955,1994,support: 809 x 649 mm frame: 1090 x 927 x 72 mm,809,649,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T06/T06802_8.jpg,http://www.tate.org.uk/art/artworks/picasso-the-studio-t06802
20854,T06803,"Picasso, Pablo",artist,1767,Bullfight Scene,1960,Ink on paper,"Presented by Gustav and Elly Kahnweiler 1974, accessioned 1994",1960,1994,support: 480 x 623 mm frame: 928 x 792 x 32 mm,480,623,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T06/T06803_8.jpg,http://www.tate.org.uk/art/artworks/picasso-bullfight-scene-t06803
21215,T06928,"Picasso, Pablo",artist,1767,Head of a Woman,1924,Oil paint on canvas,Accepted by HM Government in lieu of tax and allocated to the Tate Gallery 1995,1924,1995,unconfirmed: 345 x 265 mm frame: 610 x 510 x 95 mm,345,265,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T06/T06928_8.jpg,http://www.tate.org.uk/art/artworks/picasso-head-of-a-woman-t06928
21214,T06929,"Picasso, Pablo",artist,1767,Weeping Woman,1937,Graphite and crayon on paper,Accepted by HM Government in lieu of tax and allocated to the Tate Gallery 1995,1937,1995,frame: 668 x 540 x 52 mm support: 292 x 232 mm,668,540,52,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T06/T06929_8.jpg,http://www.tate.org.uk/art/artworks/picasso-weeping-woman-t06929
78182,T12203,"Picasso, Pablo",artist,1767,The Kiss,1967,Graphite on paper,"Bequeathed by Joanna Drew 2003, accessioned 2006",1967,2006,support: 505 x 655 mm,505,655,,mm,,© Succession Picasso/DACS 2014,http://www.tate.org.uk/art/images/work/T/T12/T12203_8.jpg,http://www.tate.org.uk/art/artworks/picasso-the-kiss-t12203
